Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_Không có sổ,Giấy tờ pháp lý_Sổ chung / công chứng vi bằng,Giấy tờ pháp lý_Đang chờ sổ,Giấy tờ pháp lý_Đã có sổ,Hướng_Không xác định,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Tình trạng nội thất_Hoàn thiện cơ bản,Tình trạng nội thất_Không xác định,Tình trạng nội thất_Nội thất cao cấp,Tình trạng nội thất_Nội thất đầy đủ,Phường/Xã_encoded,Thành phố_encoded,Giá bán_numeric_log,Diện tích (m2)_log,Giá_per_m2_log
171.0,5.7,30.0,8.0,6.0,1.0,73684210.5263158,14.0,0.19,12.214285714285714,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,6522012570.648996,6471881569.217854,23.25696265098321,5.147494476813453,18.11529910797261
115.0,4.5,17.0,3.0,3.0,3.0,91304347.82608695,6.0,0.2647058823529412,19.166666666666668,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,8030255603.5680895,6478016096.952897,23.074641094205127,4.7535901911063645,18.32970897669902
104.0,5.0,21.0,2.0,3.0,2.0,26442307.692307692,5.0,0.23809523809523808,20.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5833250078.707104,6444340613.27308,21.734866748988527,4.653960350157523,17.0904758873017
46.0,4.0,12.0,3.0,2.0,2.0,101739130.43478261,5.0,0.3333333333333333,9.2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,5162547503.167744,6464509836.25199,22.26656394708964,3.8501476017100584,18.43792256021593
80.3,5.5,15.2,3.0,2.0,2.0,68493150.68493152,5.0,0.3618421052631579,16.06,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,6793073589.59955,6444340613.27308,22.428013929366653,4.398146016553765,18.042244322832122
31.0,3.0,13.0,2.0,3.0,3.0,74193548.38709678,5.0,0.23076923076923078,6.2,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,6237483401.546157,9368352105.174751,21.556174960316298,3.4657359027997265,18.12218776887463
40.0,4.0,10.0,2.0,2.0,1.0,17750000.0,4.0,0.4,10.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3408190736.0488534,6473607613.312442,20.380775529408087,3.713572066704308,16.691896130223725
35.0,4.0,7.0,1.0,1.0,1.0,16714285.714285715,2.0,0.5714285714285714,17.5,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,5115353912.632739,3076763090.218856,20.187122406905534,3.58351893845611,16.631774403535776
75.0,4.0,18.6,6.0,3.0,3.0,136000000.0,9.0,0.2150537634408602,8.333333333333334,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,7756415279.537636,6464509836.25199,23.045653557334674,4.330733340286331,18.72816545105327
57.0,4.0,17.0,3.0,3.0,3.0,76315789.4736842,6.0,0.23529411764705882,9.5,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,5893598082.608771,6464509836.25199,22.193441682276887,4.060443010546419,18.1503904273159
