Giá (tỷ VNĐ),Diện tích (m2),Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Hướng_sin,Hướng_cos,Tình trạng nội thất_encoded
5.7,29.1,3.14,10.0,4.0,3.0,4.0,7.688481542509216,7.106919200782014,0,0,1,0,4,0.0,1.0,1.3
8.95,76.0,4.0,19.0,6.0,6.0,4.0,7.688481542509216,5.663406124443913,0,1,0,0,4,0.7071067811865476,0.7071067811865476,1.5
0.165,100.0,5.0,20.0,4.0,4.0,4.0,11.577636567407344,7.565490009775172,0,0,0,1,2,0.7071067811865476,-0.7071067811865475,1.3
8.5,80.0,5.0,16.0,3.0,3.0,3.0,7.688481542509216,6.793514818435249,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.5
0.95,119.0,6.0,20.0,1.0,1.0,6.375,6.621660006516781,5.88963572126798,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
1.18,20.0,8.0,2.5,3.0,2.0,1.0,7.688481542509216,5.892913891604215,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
50.0,618.0,24.0,30.0,3.0,3.0,3.0,7.688481542509216,9.75401384765772,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.5
2.4,83.0,4.0,21.0,3.0,2.0,1.4821428571428572,3.856690834147931,5.843404549897806,0,0,0,1,4,0.7071067811865476,-0.7071067811865475,1.1
6.5,87.0,5.0,17.4,2.0,1.0,2.330357142857143,7.688481542509216,7.673090480845319,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.7,25.0,3.5,7.0,2.0,2.0,3.0,7.688481542509216,6.9676539831659445,0,0,1,0,4,0.7071067811865476,0.7071067811865476,1.3
1.7,21.0,3.2,7.0,2.0,2.0,2.0,7.688481542509216,8.053514818435248,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.1
15.0,153.0,6.0,18.0,4.0,4.0,2.0,7.688481542509216,7.100345670061038,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
15.79,72.0,4.0,18.0,4.0,4.0,4.0,7.688481542509216,7.799938793946135,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.5
6.51,48.6,4.0,12.3,4.0,5.0,1.0,7.688481542509216,9.551834178452554,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
12.5,68.0,4.4,15.3,4.0,4.0,1.0,8.19821724475006,7.792148751221896,0,1,0,0,4,0.7071067811865476,-0.7071067811865475,1.3
26.8,55.0,4.0,18.0,4.0,4.0,4.0,7.688481542509216,8.318921435553694,0,1,0,0,4,0.0,1.0,1.3
3.1,21.4,3.5,6.0,1.0,1.0,1.1464285714285714,7.688481542509216,8.89888246816722,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
5.6,63.0,4.9,13.0,1.0,1.0,2.0,7.688481542509216,7.106919200782014,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.8,56.0,5.3,11.0,4.0,4.0,4.0,7.688481542509216,6.397702470342614,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
3.69,32.7,4.0,7.9,3.0,2.0,2.0,7.688481542509216,7.829941667293281,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
2.135,58.0,4.5,12.88888888888889,2.0,2.0,1.5535714285714284,7.688481542509216,7.56461154222122,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
6.95,36.5,3.3637776383108324,10.850895607454296,2.0,3.0,3.0,7.688481542509216,6.9676539831659445,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.3
10.5,62.0,4.0,15.5,4.0,5.0,4.0,7.688481542509216,8.824686668838927,0,0,1,0,4,0.7071067811865476,-0.7071067811865475,1.5
