Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
56.0,Không xác định,4.6,12.0,1.0,1.0,3.111111111111111,Không xác định,2,0.3833333333333333,28.0,6.460090305209852,8.387476495726496,False,False,True,False,4,5.5
39.0,Không xác định,3.5,11.1,3.0,3.0,1.0,Không xác định,6,0.3153153153153153,6.5,6.460090305209852,6.276877670940171,False,False,True,False,4,5.78
31.0,Không xác định,3.8,8.1,6.0,6.0,5.0,Không xác định,12,0.4691358024691358,2.583333333333333,6.460090305209852,6.359237343852728,False,False,True,False,4,7.9
44.0,Không xác định,3.6794648440312,11.958260743101398,3.0,3.0,1.0,Không xác định,6,0.3076923076923077,7.333333333333333,6.460090305209852,6.542857753357753,False,False,True,False,4,4.35
64.0,Bắc,4.0,14.0,2.0,1.0,1.0,Hoàn thiện cơ bản,3,0.2857142857142857,21.33333333333333,6.460090305209852,4.035302849002849,False,False,True,False,1,2.6
51.0,Không xác định,4.5,11.0,2.0,2.0,1.4166666666666667,Không xác định,4,0.4090909090909091,12.75,6.460090305209852,7.29128485776247,False,False,True,False,4,5.7
183.0,Không xác định,6.0,21.0,3.0,3.0,3.388888888888889,Không xác định,6,0.2857142857142857,30.5,9.50365182305874,6.7664346764346766,False,False,True,False,4,7.6
62.0,Không xác định,3.9,17.3,4.0,4.0,1.0,Không xác định,8,0.2254335260115607,7.75,6.460090305209852,7.468589258653089,False,True,False,False,4,14.5
170.0,Không xác định,7.4,22.0,3.0,2.0,1.0,Nội thất cao cấp,5,0.3363636363636363,34.0,3.293273504273504,6.214878561253561,True,False,False,False,4,8.5
45.0,Không xác định,4.5,10.0,4.0,4.0,1.0,Không xác định,8,0.45,5.625,6.460090305209852,7.57881339031339,False,False,True,False,4,12.0
76.0,Không xác định,4.0,20.0,4.0,4.0,1.0555555555555556,Nội thất cao cấp,8,0.2,9.5,6.460090305209852,5.887433153951672,False,False,True,False,4,6.35
