Thành phố,Phường/Xã,Diện tích (m2),Loại hình,Giấy tờ pháp lý,Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá bán (VND),Thành phố chính,Tình trạng nội thất_encoded,Giấy tờ pháp lý_encoded,Loại hình_grouped,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Hướng_grouped,Hướng_Nam,Hướng_Tây,Hướng_Tây Bắc,Hướng_Tây Nam,Hướng_Unknown,Hướng_Đông,Hướng_Đông Bắc,Hướng_Đông Nam,Thành phố chính_grouped,Thành phố chính_Khác,Thành phố chính_TP.HCM,Thành phố chính_Đà Nẵng,Phường/Xã_target_encoded,Thành phố_target_encoded
Đà Nẵng,Phường An Hải Đông,72.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,3.3,21.0,3.0,2.0,2.0,Unknown,7500000000.0,Đà Nẵng,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,Đà Nẵng,False,False,True,7575000000.0,7551963709.67742
Tp Hồ Chí Minh,Xã Xuân Thới Thượng,79.9,"Nhà mặt phố, mặt tiền",Sổ chung / công chứng vi bằng,Đông Bắc,7.0,11.5,1.0,1.0,3.0,Unknown,2300000000.0,TP.HCM,0,3.0,"Nhà mặt phố, mặt tiền",True,False,False,Đông Bắc,False,False,False,False,False,False,True,False,TP.HCM,False,True,False,4630882352.941176,7783372663.267783
Tp Hồ Chí Minh,Xã Vĩnh Lộc B,40.0,"Nhà ngõ, hẻm",Đang chờ sổ,Đông,4.0,10.0,2.0,2.0,2.0,Hoàn thiện cơ bản,2190000000.0,TP.HCM,2,2.0,"Nhà ngõ, hẻm",False,True,False,Đông,False,False,False,False,False,True,False,False,TP.HCM,False,True,False,3493950000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Hiệp Thành,71.0,"Nhà ngõ, hẻm",Đã có sổ,Bắc,4.6,16.0,4.0,5.0,4.0,Hoàn thiện cơ bản,6290000000.0,TP.HCM,2,4.0,"Nhà ngõ, hẻm",False,True,False,Bắc,False,False,False,False,False,False,False,False,TP.HCM,False,True,False,5181361445.783133,7783372663.267783
Tp Hồ Chí Minh,Phường Bình Hưng Hòa,55.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,5.5,10.0,4.0,5.0,4.0,Nội thất đầy đủ,6180000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6354028571.428572,7783372663.267783
Tp Hồ Chí Minh,Phường An Lạc,40.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,10.0,4.0,3.0,4.0,Nội thất đầy đủ,4700000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6886272727.272727,7783372663.267783
Tp Hồ Chí Minh,Phường 16,45.1,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.2,12.0,2.0,2.0,2.0,Hoàn thiện cơ bản,4700000000.0,TP.HCM,2,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,7304200000.0,7783372663.267783
Đồng Nai,Phường An Bình,60.0,"Nhà ngõ, hẻm",Đã có sổ,Bắc,5.0,12.0,3.0,3.0,3.0,Unknown,4050000000.0,Khác,0,4.0,"Nhà ngõ, hẻm",False,True,False,Bắc,False,False,False,False,False,False,False,False,Khác,True,False,False,6513571428.571428,3422517857.142857
Tp Hồ Chí Minh,Xã Phước Vĩnh An,68.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.0,17.0,2.0,1.0,1.0,Unknown,1200000000.0,TP.HCM,0,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,4600000000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Hiệp Thành,140.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,10.0,14.0,4.0,4.0,3.0,Nội thất đầy đủ,7200000000.0,TP.HCM,3,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5181361445.783133,7783372663.267783
Tp Hồ Chí Minh,Thị trấn Nhà Bè,64.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,16.0,4.0,2.0,2.0,Nội thất cao cấp,5680000000.0,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5403188405.797101,7783372663.267783
Đồng Nai,Phường Trảng Dài,94.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.5,21.0,3.0,2.0,2.0,Nội thất cao cấp,1750000000.0,Khác,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,Khác,True,False,False,2428090909.090909,3422517857.142857
Tp Hồ Chí Minh,Phường Bình Hưng Hoà A,52.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.1,15.0,2.0,2.0,3.0,Unknown,4300000000.0,TP.HCM,0,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5914012195.121951,7783372663.267783
Tp Hồ Chí Minh,Phường Thạnh Xuân,30.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Unknown,3.5,9.0,4.0,3.0,3.0,Unknown,1700000000.0,TP.HCM,0,3.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,4273442307.6923075,7783372663.267783
Đà Nẵng,Phường Hòa Thọ Đông,92.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Unknown,4.3,21.0,3.0,2.0,2.0,Nội thất đầy đủ,5900000000.0,Đà Nẵng,3,4.0,"Nhà mặt phố, mặt tiền",True,False,False,Unknown,False,False,False,False,True,False,False,False,Đà Nẵng,False,False,True,4308000000.0,7551963709.67742
Tp Hồ Chí Minh,Phường Phú Hữu (Quận 9 cũ),75.0,Nhà phố liền kề,Đã có sổ,Unknown,5.0,15.0,3.0,3.0,3.0,Unknown,8500000000.0,TP.HCM,0,4.0,Nhà phố liền kề,False,False,True,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6687500000.0,7783372663.267783
Tp Hồ Chí Minh,Phường Hiệp Thành,20.0,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,Bắc,3.3,6.0,2.0,2.0,1.0,Nội thất cao cấp,750000000.0,TP.HCM,4,3.0,"Nhà ngõ, hẻm",False,True,False,Bắc,False,False,False,False,False,False,False,False,TP.HCM,False,True,False,5181361445.783133,7783372663.267783
Tp Hồ Chí Minh,Thị trấn Nhà Bè,60.0,"Nhà ngõ, hẻm",Đã có sổ,Unknown,4.0,15.0,4.0,5.0,4.0,Nội thất cao cấp,6860000000.0,TP.HCM,4,4.0,"Nhà ngõ, hẻm",False,True,False,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,5403188405.797101,7783372663.267783
Tp Hồ Chí Minh,Phường 15,62.0,Nhà phố liền kề,Đã có sổ,Unknown,4.0,15.6,4.0,5.0,3.0,Nội thất cao cấp,12790000000.0,TP.HCM,4,4.0,Nhà phố liền kề,False,False,True,Unknown,False,False,False,False,True,False,False,False,TP.HCM,False,True,False,6976977941.176471,7783372663.267783
