Diện tích (m2),Hướng,Chiều ngang (m),Chiều dài (m),Số phòng ngủ,Số phòng vệ sinh,Số tầng,Tình trạng nội thất,Giá_per_m2,Tổng_phòng,Aspect_ratio,Diện_tích_per_phòng,Thành phố_encoded,Phường/Xã_encoded,Loại hình_Nhà biệt thự,"Loại hình_Nhà mặt phố, mặt tiền","Loại hình_Nhà ngõ, hẻm",Loại hình_Nhà phố liền kề,Giấy tờ pháp lý_encoded,Giá
46.0,Đông Bắc,3.762159772503841,12.227019260637483,3.0,3.0,1.0,Không xác định,0.208695652173913,6,0.3076923076923076,7.666666666666667,6.460090305209852,7.475523171889838,False,True,False,False,4,9.6
160.0,Không xác định,8.0,20.0,3.0,2.0,2.9629629629629632,Hoàn thiện cơ bản,0.0125,5,0.4,32.0,2.7024260683760684,6.398008547008547,False,True,False,False,4,2.0
60.0,Không xác định,4.6,13.043478260869566,7.0,5.0,1.0,Không xác định,0.1,12,0.3526666666666666,5.0,6.460090305209852,7.442778641111975,False,True,False,False,4,6.0
27.0,Không xác định,3.0,9.0,3.0,3.0,4.0,Không xác định,0.0925925925925925,6,0.3333333333333333,4.5,6.460090305209852,5.67736010320916,False,False,False,True,3,2.5
44.9,Không xác định,4.0,11.2,2.0,2.0,2.0,Hoàn thiện cơ bản,0.077728285077951,4,0.3571428571428571,11.225,6.460090305209852,5.111358015000872,False,False,True,False,4,3.49
186.0,Đông,6.2,31.0,3.0,2.0,1.0,Nội thất đầy đủ,0.0137096774193548,5,0.2,37.2,3.293273504273504,6.398008547008547,False,True,False,False,4,2.55
101.0,Đông Nam,5.0,20.0,4.0,3.0,3.0,Nội thất đầy đủ,0.097029702970297,7,0.25,14.428571428571429,9.50365182305874,6.398008547008547,False,True,False,False,4,9.8
85.0,Không xác định,5.114083119567588,16.62077013859466,8.0,5.5,1.0,Không xác định,0.1870588235294117,13,0.3076923076923076,6.538461538461538,6.460090305209852,7.866659453584309,False,False,True,False,4,15.9
96.0,Không xác định,6.0,16.0,4.0,4.0,1.3333333333333333,Nội thất đầy đủ,0.059375,8,0.375,12.0,6.460090305209852,5.780818091168091,False,False,False,True,4,5.7
62.0,Không xác định,4.0,16.0,3.0,2.0,2.0,Nội thất đầy đủ,0.1012903225806451,5,0.25,12.4,6.460090305209852,6.542857753357753,False,False,True,False,4,6.28
56.0,Không xác định,4.6,12.0,1.0,1.0,3.111111111111111,Không xác định,0.0982142857142857,2,0.3833333333333333,28.0,6.460090305209852,8.387476495726496,False,False,True,False,4,5.5
39.0,Không xác định,3.5,11.1,3.0,3.0,1.0,Không xác định,0.1482051282051282,6,0.3153153153153153,6.5,6.460090305209852,6.276877670940171,False,False,True,False,4,5.78
31.0,Không xác định,3.8,8.1,6.0,6.0,5.0,Không xác định,0.2548387096774193,12,0.4691358024691358,2.583333333333333,6.460090305209852,6.359237343852728,False,False,True,False,4,7.9
44.0,Không xác định,3.6794648440312,11.958260743101398,3.0,3.0,1.0,Không xác định,0.0988636363636363,6,0.3076923076923077,7.333333333333333,6.460090305209852,6.542857753357753,False,False,True,False,4,4.35
64.0,Bắc,4.0,14.0,2.0,1.0,1.0,Hoàn thiện cơ bản,0.040625,3,0.2857142857142857,21.33333333333333,6.460090305209852,4.035302849002849,False,False,True,False,1,2.6
51.0,Không xác định,4.5,11.0,2.0,2.0,1.4166666666666667,Không xác định,0.1117647058823529,4,0.4090909090909091,12.75,6.460090305209852,7.29128485776247,False,False,True,False,4,5.7
183.0,Không xác định,6.0,21.0,3.0,3.0,3.388888888888889,Không xác định,0.0415300546448087,6,0.2857142857142857,30.5,9.50365182305874,6.7664346764346766,False,False,True,False,4,7.6
62.0,Không xác định,3.9,17.3,4.0,4.0,1.0,Không xác định,0.2338709677419354,8,0.2254335260115607,7.75,6.460090305209852,7.468589258653089,False,True,False,False,4,14.5
170.0,Không xác định,7.4,22.0,3.0,2.0,1.0,Nội thất cao cấp,0.05,5,0.3363636363636363,34.0,3.293273504273504,6.214878561253561,True,False,False,False,4,8.5
45.0,Không xác định,4.5,10.0,4.0,4.0,1.0,Không xác định,0.2666666666666666,8,0.45,5.625,6.460090305209852,7.57881339031339,False,False,True,False,4,12.0
76.0,Không xác định,4.0,20.0,4.0,4.0,1.0555555555555556,Nội thất cao cấp,0.0835526315789473,8,0.2,9.5,6.460090305209852,5.887433153951672,False,False,True,False,4,6.35
104.8,Bắc,4.4,23.0,10.0,5.5,4.0,Không xác định,0.0892175572519084,15,0.1913043478260869,6.986666666666666,6.460090305209852,7.093097076534576,False,False,True,False,4,9.35
42.0,Không xác định,4.0,10.5,1.0,1.0,2.333333333333333,Không xác định,0.0857142857142857,2,0.3809523809523809,21.0,6.460090305209852,6.408890788224121,False,False,True,False,4,3.6
